Grower,Farm,Year,FieldName,FieldName_original,Crop,Variety,Date,SeededAcres,Acres,Weight_lbs,Volume_bu,Yield_buac,Use,Notes
202204 SHANE STROEDER,Ashworth Ag Co,2022,Allans east,Allans east,Canola,,,,,283251,,34,TRUE,
202204 SHANE STROEDER,Ashworth Ag Co,2022,Allans west,Allans west,Canola,,,,,282357,,35,TRUE,
202204 SHANE STROEDER,Ashworth Ag Co,2022,Behind Cicels,Behind Cicels,Canola,,,,,582865,,35,TRUE,
202204 SHANE STROEDER,Ashworth Ag Co,2022,Bobs Deeds,Bobs Deeds,Durum,,,,,537549,,56,TRUE,
202204 SHANE STROEDER,Ashworth Ag Co,2022,Bobs East Half,Bobs East Half,Durum,,,,,1053851,,56,TRUE,
202204 SHANE STROEDER,Ashworth Ag Co,2022,Bobs home,Bobs home,Durum,,,,,1167007,,65,TRUE,
202204 SHANE STROEDER,Ashworth Ag Co,2022,Burgers,Burgers,Canola,,,,,1352878,,34,TRUE,
202204 SHANE STROEDER,Ashworth Ag Co,2022,Cicels east,Cicels east,Canola,,,,,271802,,35,TRUE,
202204 SHANE STROEDER,Ashworth Ag Co,2022,Cicels home half,Cicels home half,Canola,,,,,462424,,31,TRUE,
202204 SHANE STROEDER,Ashworth Ag Co,2022,Fats oil bin,Fats oil bin,Durum,,,,,1003980,,59,TRUE,
202204 SHANE STROEDER,Ashworth Ag Co,2022,Geralds,Geralds,Durum,,,,,87978,,8,FALSE,Two crops from same field
202204 SHANE STROEDER,Ashworth Ag Co,2022,Geralds north,Geralds north,Barley,,,,,864987,,160,FALSE,Two crops from same field
202204 SHANE STROEDER,Ashworth Ag Co,2022,Herbs,Herbs,Canola,,,,,426483,,25,TRUE,
202204 SHANE STROEDER,Ashworth Ag Co,2022,Home half,Home half,Durum,,,,,701701,,40,TRUE,
202204 SHANE STROEDER,Ashworth Ag Co,2022,Kenny 60acre,Kenny 60acre,Durum,,,,,143660,,39,TRUE,
202204 SHANE STROEDER,Ashworth Ag Co,2022,Kennys East,Kennys East,Durum,,,,,1240351,,42,TRUE,
202204 SHANE STROEDER,Ashworth Ag Co,2022,Klaybos,Klaybos,Durum,,,,,NA,,NA,FALSE,
202204 SHANE STROEDER,Ashworth Ag Co,2022,L field,L field,Durum,,,,,1799406,,63,TRUE,
202204 SHANE STROEDER,Ashworth Ag Co,2022,Lloyds east,Lloyds east,Canola,,,,,139269,,18,TRUE,
202204 SHANE STROEDER,Ashworth Ag Co,2022,Lloyds home,Lloyds home,Canola,,,,,150426,,18,TRUE,
202204 SHANE STROEDER,Ashworth Ag Co,2022,Lloyds nw,Lloyds nw,Canola,,,,,175415,,22,TRUE,
202204 SHANE STROEDER,Ashworth Ag Co,2022,Lornas north,Lornas north,Canola,,,,,826215,,38,TRUE,
202204 SHANE STROEDER,Ashworth Ag Co,2022,Lornas South,Lornas South,Canola,,,,,764701,,41,TRUE,
202204 SHANE STROEDER,Ashworth Ag Co,2022,Mesabi,Mesabi,Durum,,,,,2466119,,64,TRUE,
202204 SHANE STROEDER,Ashworth Ag Co,2022,Murhheads north,Murhheads north,Mustard,,,,,216342,,26,TRUE,
202204 SHANE STROEDER,Ashworth Ag Co,2022,Murhheads south,Murhheads south,Mustard,,,,,253028,,30,TRUE,
202204 SHANE STROEDER,Ashworth Ag Co,2022,Murhheads west,Murhheads west,Mustard,,,,,221718,,27,TRUE,
202204 SHANE STROEDER,Ashworth Ag Co,2022,North of Food Grains,North of Food Grains,Durum,,,,,1143235,,68,TRUE,
202204 SHANE STROEDER,Ashworth Ag Co,2022,Parns,Parns,Durum,,,,,970408,,34,TRUE,
202204 SHANE STROEDER,Ashworth Ag Co,2022,Phylis section 10,Phylis section 10,Durum,,,,,1431149,,47,TRUE,
202204 SHANE STROEDER,Ashworth Ag Co,2022,Ratcliff,Ratcliff,Durum,,,,,369478,,56,TRUE,
202204 SHANE STROEDER,Ashworth Ag Co,2022,School land,School land,Durum,,,,,814226,,40,TRUE,
202204 SHANE STROEDER,Ashworth Ag Co,2022,South east Giebs,South east Giebs,Canola,,,,,122158,,19,TRUE,
202204 SHANE STROEDER,Ashworth Ag Co,2022,South Giebs,South Giebs,Canola,,,,,245814,,30,TRUE,
202204 SHANE STROEDER,Ashworth Ag Co,2022,Franklins by lornas,Franklins by lornas,Barley,,,,,1040213,,81,TRUE,
202204 SHANE STROEDER,Ashworth Ag Co,2022,Franklins Half pump,Franklins Half pump,Barley,,,,,1389305,,87,TRUE,
202204 SHANE STROEDER,Ashworth Ag Co,2022,Franklins single,Franklins single,Barley,,,,,684163,,76,TRUE,
202204 SHANE STROEDER,Ashworth Ag Co,2022,Harry L,Harry L,Canola,,,,,NA,,NA,FALSE,
202204 SHANE STROEDER,Ashworth Ag Co,2022,Johnsons,Johnsons,Durum,,,,,NA,,NA,FALSE,
202204 SHANE STROEDER,Ashworth Ag Co,2022,Kennys Home,Kennys Home,Durum,,,,,1436246,,28,TRUE,
202204 SHANE STROEDER,Ashworth Ag Co,2022,Kennys SE,Kennys SE,Durum,,,,,743401,,46,TRUE,
202204 SHANE STROEDER,Ashworth Ag Co,2022,Kevins,Kevins,Durum,,,,,928283,,44,TRUE,
202204 SHANE STROEDER,Ashworth Ag Co,2022,McNeils,McNeils,Mustard,,,,,683006,,30,TRUE,
202204 SHANE STROEDER,Ashworth Ag Co,2022,Melbys Single,Melbys Single,Canola,,,,,372427,,46,TRUE,
202204 SHANE STROEDER,Ashworth Ag Co,2022,North of Kens nw34,North of Kens nw34,Canola,,,,,353364,,21,TRUE,
202204 SHANE STROEDER,Ashworth Ag Co,2022,North of kens nw35,North of kens nw35,Canola,,,,,402470,,27,TRUE,
202204 SHANE STROEDER,Ashworth Ag Co,2022,Ushers Yard,Ushers Yard,Canola,,,,,646247,,45,TRUE,
202221 ABERHART FARMS INC,Hillwell Farms,2021,15,15,Canola,LL - InVigor L233P,2021-09-11,156,158.05,,5320.89,34.16,TRUE,
202221 ABERHART FARMS INC,Hillwell Farms,2021,15,15,Canola,LL - InVigor L233P,2021-09-11,156,156,,5983,38.35,TRUE,
202221 ABERHART FARMS INC,Hillwell Farms,2022,15,15,Wheat,HRS - AAC Wheatland VB,2022-09-06,140,140,,8946,63.9,TRUE,
202221 ABERHART FARMS INC,Aberhart Farms,2021,24,24,Peas,Green - CDC Striker,2021-08-04,153,153,,4171,27.26,TRUE,
202221 ABERHART FARMS INC,Aberhart Farms,2022,24,24,Canola,LL - Invigor L340PC,2022-10-09,153,153,,7497,49,TRUE,
202221 ABERHART FARMS INC,Hillwell Farms,2022,15 Breaking,15 Breaking,Oats,Milling - CS Camden,2022-09-28,18,18,,1942.2,107.9,TRUE,
202221 ABERHART FARMS INC,Aberhart Farms,2021,25 Creek,25 Creek,Barley,2 Row Malt - AAC Synergy,2021-08-13,239,239,,14232,59.55,TRUE,
202221 ABERHART FARMS INC,Aberhart Farms,2022,25 Creek,25 Creek,Canola,LL - Invigor L340PC,2022-10-09,222,237,,11684.1,49.3,TRUE,
202221 ABERHART FARMS INC,Hillwell Farms,2021,Altmans L,Altmans L,Canola,LL - Invigor L340PC,2021-09-14,440,477.57,,14999.3,40.88,TRUE,
202221 ABERHART FARMS INC,Hillwell Farms,2021,Altmans L,Altmans L,Canola,LL - Invigor L340PC,2021-09-14,440,457,,17988,39.36,TRUE,
202221 ABERHART FARMS INC,Hillwell Farms,2022,Altmans L,Altmans L,Wheat,HRS - AAC Wheatland VB,2022-10-01,440,440,,29876,67.9,TRUE,
202221 ABERHART FARMS INC,Hillwell Farms,2021,Barrys,Barrys,Canola,LL - Invigor L340PC,2021-09-14,309,309,,11124,36,TRUE,
202221 ABERHART FARMS INC,Hillwell Farms,2022,Barrys,Barrys,Wheat,HRS - AAC Starbuck VB,2022-09-30,282,282,,18894,67,TRUE,
202221 ABERHART FARMS INC,Aberhart Farms,2021,Bennett Half,Bennett Half,Barley,2 Row Malt - AAC Synergy,2021-08-08,304,285.04,,16656.51,59.33,TRUE,
202221 ABERHART FARMS INC,Aberhart Farms,2021,Bennett Half,Bennett Half,Barley,2 Row Malt - AAC Synergy,2021-08-12,304,304,,20301,66.78,TRUE,
202221 ABERHART FARMS INC,Aberhart Farms,2022,Bennett Half,Bennett Half,Canola,LL - Invigor L340PC,2022-10-14,296,296,,11307.2,38.2,TRUE,
202221 ABERHART FARMS INC,Hillwell Farms,2021,Bills,Bills,Canola,LL - Invigor L340PC,2021-09-12,163,163,,6685,41.01,TRUE,
202221 ABERHART FARMS INC,Hillwell Farms,2022,Bills,Bills,Wheat,HRS - AAC Starbuck VB,2022-10-02,160,160,,8976,56.1,TRUE,
202221 ABERHART FARMS INC,Single Owner,2021,Bobs Half,Bobs Half,Canola,LL,2021-09-17,207,207,,9875,47.71,TRUE,
202221 ABERHART FARMS INC,Ken and Wayne Adams,2021,Border Quarter,Border Quarter,Canola,LL - InVigor L255PC,2021-09-21,117,117,,3988,34.09,TRUE,
202221 ABERHART FARMS INC,Ken and Wayne Adams,2022,Border Quarter,Border Quarter,Canola,LL - Invigor L340PC,2022-09-26,117,118,,4637.4,39.3,TRUE,
202221 ABERHART FARMS INC,Single Owner,2021,Brent Half,Brent Half,Canola,LL,2021-09-17,220.4,251.65,,9238.22,36.89,TRUE,
202221 ABERHART FARMS INC,Single Owner,2021,Brent Half,Brent Half,Canola,LL,2021-09-17,220.4,220.4,,11135,50.52,TRUE,
202221 ABERHART FARMS INC,Single Owner,2022,Brent Half,Brent Half,Barley,2 Row Malt - AAC Synergy,2022-09-02,233,233,,29334.7,125.9,TRUE,
202221 ABERHART FARMS INC,Aberhart Farms,2021,Brians Half,Brians Half,Canola,LL - Invigor L357P,2021-09-08,214,214,,10702,50.01,TRUE,
202221 ABERHART FARMS INC,Aberhart Farms,2022,Brians Half,Brians Half,Barley,2 Row Malt - AAC Synergy,2022-09-03,210,210,,21294,101.4,TRUE,
202221 ABERHART FARMS INC,Aberhart Farms,2021,Bush Quarter,Bush Quarter,Barley,2 Row Malt - CDC Bow,2021-08-13,161,161,,8881,55.16,TRUE,
202221 ABERHART FARMS INC,Aberhart Farms,2022,Bush Quarter,Bush Quarter,Canola,LL - Invigor L356PC,NA,153,NA,,NA,NA,TRUE,
202221 ABERHART FARMS INC,Single Owner,2021,Carls,Carls,Canola,LL - Invigor L340PC,2021-09-12,119,119,,3967,33.34,TRUE,
202221 ABERHART FARMS INC,Single Owner,2022,Carls,Carls,Wheat,HRS - AAC Starbuck VB,2022-10-02,120,120,,6408,53.4,TRUE,
202221 ABERHART FARMS INC,Single Owner,2021,Cliff,Cliff,Peas,Green - CDC Striker,2021-08-16,219,222,,7348,33.1,TRUE,
202221 ABERHART FARMS INC,Single Owner,2022,Cliff,Cliff,Canola,LL - Invigor L340PC,2022-09-27,222,222,,10966.8,49.4,TRUE,
202221 ABERHART FARMS INC,Cantara Capital,2021,Dad Quarter,Dad Quarter,Wheat,HRS,2021-09-03,164,164,,7919,48.29,TRUE,
202221 ABERHART FARMS INC,Aberhart Farms,2022,Dad Quarter,Dad Quarter,Canola,LL - Invigor L340PC,2022-10-05,160,155,,7331.5,47.3,TRUE,
202221 ABERHART FARMS INC,Aberhart Farms,2021,Dancing East,Dancing East,Canola,LL - InVigor L255PC,2021-09-15,117.1,118,,2683,22.74,TRUE,
202221 ABERHART FARMS INC,Aberhart Farms,2022,Dancing East,Dancing East,Oats,Milling - CS Camden,2022-09-29,117.1,117,,13700.7,117.1,TRUE,
202221 ABERHART FARMS INC,Aberhart Farms,2021,Dancing Half,Dancing Half,Canola,LL - InVigor L255PC,2021-09-15,208,208,,6683,32.13,TRUE,
202221 ABERHART FARMS INC,Aberhart Farms,2022,Dancing Half,Dancing Half,Oats,Milling - CS Camden,2022-09-28,220,220,,26708,121.4,TRUE,
202221 ABERHART FARMS INC,Aberhart Farms,2021,Dancing L Block,Dancing L Block,Canola,LL - InVigor L255PC,2021-09-15,214,225.81,,4276.59,19.23,TRUE,
202221 ABERHART FARMS INC,Aberhart Farms,2021,Dancing L Block,Dancing L Block,Canola,LL - InVigor L255PC,2021-09-16,214,214,,5047,23.58,TRUE,
202221 ABERHART FARMS INC,Aberhart Farms,2022,Dancing L Block,Dancing L Block,Oats,Milling - CS Camden,2022-09-29,214,214,,24567.2,114.8,TRUE,
202221 ABERHART FARMS INC,Aberhart Farms,2022,Dancing L Breaking,Dancing L Block Breaking,Canola,LL - Invigor L340PC,2022-10-14,98,98,,3234,33,TRUE,
202221 ABERHART FARMS INC,Aberhart Farms,2021,Dancing West,Dancing West,Canola,LL - InVigor L255PC,2021-09-15,119,125.27,,2230.93,18.5,TRUE,
202221 ABERHART FARMS INC,Aberhart Farms,2021,Dancing West,Dancing West,Canola,LL - InVigor L255PC,2021-09-15,119,119,,2704,22.72,TRUE,
202221 ABERHART FARMS INC,Aberhart Farms,2022,Dancing West,Dancing West,Oats,Milling - CS Camden,2022-09-13,117.1,114,,14854.2,130.3,TRUE,
202221 ABERHART FARMS INC,Hillwell Farms,2021,Daryl Home Sec,Daryl Home Sec,Canola,LL - Invigor L340PC,2021-09-13,593,593,,22848,38.53,TRUE,
202221 ABERHART FARMS INC,Hillwell Farms,2022,Daryl Home Sec,Daryl Home Sec,Wheat,HRS - AAC Starbuck VB,2022-10-03,162,600,,35460,59.1,TRUE,
202221 ABERHART FARMS INC,David Schepp,2021,David,David,Barley,2 Row Malt - AAC Synergy,2021-08-08,275,293,,18669,63.72,TRUE,
202221 ABERHART FARMS INC,David Schepp,2022,David Manitoba Half,David Manitoba Half,Canola,LL - Invigor L356PC,2022-10-11,287,287,,10590.3,36.9,TRUE,
202221 ABERHART FARMS INC,David Schepp,2021,Davids and Hermans S,Davids and Hermans S,Barley,2 Row Malt,2021-08-07,530,530,,33486,63.18,TRUE,
202221 ABERHART FARMS INC,David Schepp,2022,Davids and Hermans S,Davids and Hermans S,Canola,LL - Invigor L356PC,2022-10-10,512,512,,20736,40.5,TRUE,
202221 ABERHART FARMS INC,Cantara Capital,2021,Decock Home Half,Decock Home Half,Wheat,HRS - AAC Starbuck VB,2021-09-04,238,238,,11991,50.38,TRUE,
202221 ABERHART FARMS INC,Aberhart Farms,2022,Decock Home Half,Decock Home Half,Canola,LL - Invigor L340PC,2022-10-04,230,230,,11178,48.6,TRUE,
202221 ABERHART FARMS INC,Bahsler Farms,2021,Ditch Field,Ditch Field,Peas,Yellow - AAC Chrome Variety,2021-08-14,155,152,,7119,46.84,TRUE,
202221 ABERHART FARMS INC,Bahsler Farms,2022,Ditch Field,Ditch Field,Canola,LL - Invigor L340PC,2022-09-27,158,155,,6246.5,40.3,TRUE,
202221 ABERHART FARMS INC,Hillwell Farms,2021,Dwayne Home Sec,Dwayne Home Sec,Canola,LL - InVigor L233P,2021-09-09,636,671.87,,20906.7,31.4,TRUE,
202221 ABERHART FARMS INC,Hillwell Farms,2021,Dwayne Home Sec,Dwayne Home Sec,Canola,LL - InVigor L233P,2021-09-09,636,636,,23186,36.46,TRUE,
202221 ABERHART FARMS INC,Hillwell Farms,2022,Dwayne Home Sec,Dwayne Home Sec,Wheat,HRS - AAC Wheatland VB,2022-09-05,618,618,,37018.2,59.9,TRUE,
202221 ABERHART FARMS INC,Hillwell Farms,2021,Dwayne North Sec,Dwayne North Sec,Canola,LL - InVigor L233P,2021-09-11,650,650,,21814,33.56,TRUE,
202221 ABERHART FARMS INC,Hillwell Farms,2022,Dwayne North Sec,Dwayne North Sec,Wheat,HRS - AAC Wheatland VB,2022-09-04,632,632,,37224.8,58.9,TRUE,
202221 ABERHART FARMS INC,Cantara Capital,2021,Elevator Half,Elevator Half,Wheat,HRS - AAC Wheatland VB,2021-08-19,305,325.05,,14952.31,47.32,TRUE,
202221 ABERHART FARMS INC,Cantara Capital,2021,Elevator Half,Elevator Half,Wheat,HRS - AAC Wheatland VB,2021-08-30,305,302,,13465,44.59,TRUE,
202221 ABERHART FARMS INC,Aberhart Farms,2022,Elevator Half,Elevator Half,Canola,LL - Invigor L340PC,2022-10-03,305,294,,12612.6,42.9,TRUE,
202221 ABERHART FARMS INC,Hillwell Farms,2021,Ellinghams,Ellinghams,Canola,LL - InVigor L233P,2021-09-11,154,155,,6057,39.08,TRUE,
202221 ABERHART FARMS INC,Hillwell Farms,2022,Ellinghams,Ellinghams,Wheat,HRS - AAC Wheatland VB,2022-09-09,151,151,,8803.3,58.3,TRUE,
202221 ABERHART FARMS INC,Single Owner,2021,Garths Home,Garths Home,Canola,LL - Invigor L357P,2021-09-08,128,127,,5495,43.27,TRUE,
202221 ABERHART FARMS INC,Single Owner,2022,Garths Home,Garths Home,Barley,2 Row Malt - AAC Synergy,2022-09-03,122,122,,13773.8,112.9,TRUE,
202221 ABERHART FARMS INC,Aberhart Farms,2021,Garths Old Quarter,Garths Old Quarter,Canola,LL - Invigor L357P,2021-09-08,158,160,,7549,47.18,TRUE,
202221 ABERHART FARMS INC,Aberhart Farms,2022,Garths Old Quarter,Garths Old Quarter,Barley,2 Row Malt - AAC Synergy,2022-08-30,210,158,,15942.2,100.9,TRUE,
202221 ABERHART FARMS INC,Hillwell Farms,2021,Gerber's,Gerber's,Barley,2 Row Malt - AAC Synergy,2021-08-13,152,155,,9331,60.2,TRUE,
202221 ABERHART FARMS INC,Hillwell Farms,2022,Gerber's,Gerber's,Canola,LL - Invigor L356PC,2022-10-12,155,,,6116.297,40.7753,TRUE,
202221 ABERHART FARMS INC,Aberhart Farms,2021,Gopherville Block,Gopherville Block,Canola,LL - Invigor L340PC,2021-09-12,473,473,,21769,46.02,TRUE,
202221 ABERHART FARMS INC,Aberhart Farms,2022,Gopherville Block,Gopherville Block,Peas,Yellow - CDC Lewechko,2022-09-14,443,443,,24542.2,55.4,TRUE,
202221 ABERHART FARMS INC,Bahsler Farms,2021,Gordon Home Half,Gordon Home Half,Peas,Yellow - AAC Chrome Variety,2021-08-15,251,251,,9580,38.17,TRUE,
202221 ABERHART FARMS INC,Bahsler Farms,2022,Gordon Home Half,Gordon Home Half,Canola,LL - Invigor L340PC,2022-10-08,250,250,,10050,40.2,TRUE,
202221 ABERHART FARMS INC,Aberhart Farms,2021,Goudys Home North,Goudys Home North,Wheat,HRS - CDC Landmark VB,2021-08-17,502,525.29,,25717.08,49.81,TRUE,
202221 ABERHART FARMS INC,Aberhart Farms,2021,Goudys Home North,Goudys Home North,Wheat,HRS - CDC Landmark VB,2021-08-17,502,502,,25511,50.82,TRUE,
202221 ABERHART FARMS INC,Aberhart Farms,2022,Goudys Home North,Goudys Home North,Canola,LL - Invigor L357P,2022-10-12,470,470,,19411,41.3,TRUE,
202221 ABERHART FARMS INC,Aberhart Farms,2022,Goudys Home North,Goudys Home North,Canola,NA,NA,518.23,NA,,NA,NA,TRUE,
202221 ABERHART FARMS INC,Aberhart Farms,2021,Goudys Home South,Goudys Home South,Wheat,HRS - CDC Landmark VB,2021-08-17,428,428,,23026,53.799,TRUE,
202221 ABERHART FARMS INC,Aberhart Farms,2022,Goudys Home South,Goudys Home South,Canola,LL - Invigor L340PC,2022-10-13,421,421,,19702.8,46.8,TRUE,
202221 ABERHART FARMS INC,Aberhart Farms,2021,Goudys North Section,Goudys North Section,Wheat,HRS - CDC Landmark VB,2021-08-18,642,636,,31462,49.47,TRUE,
202221 ABERHART FARMS INC,Aberhart Farms,2022,Goudys North Section,Goudys North Section,Canola,LL - Invigor L357P,2022-10-14,594,594,,24948,42,TRUE,
202221 ABERHART FARMS INC,Aberhart Farms,2021,Gravel Pile,Gravel Pile,Canola,LL - Invigor L340PC,2021-09-08,229,229,,10697,46.71,TRUE,
202221 ABERHART FARMS INC,Aberhart Farms,2022,Gravel Pile,Gravel Pile,Wheat,HRS - AAC Wheatland VB,2022-09-06,215,215,,12319.5,57.3,TRUE,
202221 ABERHART FARMS INC,Hillwell Farms,2021,Gus,Gus,Wheat,HRS - AAC Wheatland VB,2021-08-19,159,159,,6640,41.76,TRUE,
